order,family,header,symbol,kind,requirement,implementation_status,header_evidence,implementation_source,test_evidence,implementation_notes,review_status,review_findings,fix_status,standard_url
11,ISO-C17,<ctype.h>,isupper,function,required,implemented,libc/include/ctype.h,libc/ctype.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
12,ISO-C17,<ctype.h>,isxdigit,function,required,implemented,libc/include/ctype.h,libc/ctype.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
13,ISO-C17,<ctype.h>,tolower,function,required,implemented,libc/include/ctype.h,libc/ctype.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
14,ISO-C17,<ctype.h>,toupper,function,required,implemented,libc/include/ctype.h,libc/ctype.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
15,ISO-C17,<fenv.h>,feclearexcept,function,required,implemented,libc/include/fenv.h,libc/fenv.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,Software floating point initially lacked thread-local state and domain/range exception propagation; both are now connected.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
16,ISO-C17,<fenv.h>,fegetenv,function,required,implemented,libc/include/fenv.h,libc/fenv.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,Software floating point initially lacked thread-local state and domain/range exception propagation; both are now connected.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
17,ISO-C17,<fenv.h>,fegetexceptflag,function,required,implemented,libc/include/fenv.h,libc/fenv.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,Software floating point initially lacked thread-local state and domain/range exception propagation; both are now connected.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
18,ISO-C17,<fenv.h>,fegetround,function,required,implemented,libc/include/fenv.h,libc/fenv.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,Software floating point initially lacked thread-local state and domain/range exception propagation; both are now connected.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
19,ISO-C17,<fenv.h>,feholdexcept,function,required,implemented,libc/include/fenv.h,libc/fenv.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,Software floating point initially lacked thread-local state and domain/range exception propagation; both are now connected.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
20,ISO-C17,<fenv.h>,feraiseexcept,function,required,implemented,libc/include/fenv.h,libc/fenv.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,Software floating point initially lacked thread-local state and domain/range exception propagation; both are now connected.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
21,ISO-C17,<fenv.h>,fesetenv,function,required,implemented,libc/include/fenv.h,libc/fenv.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,Software floating point initially lacked thread-local state and domain/range exception propagation; both are now connected.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
22,ISO-C17,<fenv.h>,fesetexceptflag,function,required,implemented,libc/include/fenv.h,libc/fenv.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,Software floating point initially lacked thread-local state and domain/range exception propagation; both are now connected.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
23,ISO-C17,<fenv.h>,fesetround,function,required,implemented,libc/include/fenv.h,libc/fenv.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,Software floating point initially lacked thread-local state and domain/range exception propagation; both are now connected.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
24,ISO-C17,<fenv.h>,fetestexcept,function,required,implemented,libc/include/fenv.h,libc/fenv.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,Software floating point initially lacked thread-local state and domain/range exception propagation; both are now connected.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
25,ISO-C17,<fenv.h>,feupdateenv,function,required,implemented,libc/include/fenv.h,libc/fenv.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,Software floating point initially lacked thread-local state and domain/range exception propagation; both are now connected.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
26,ISO-C17,<inttypes.h>,imaxabs,function,required,implemented,libc/include/inttypes.h,libc/inttypes.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
27,ISO-C17,<inttypes.h>,imaxdiv,function,required,implemented,libc/include/inttypes.h,libc/inttypes.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
28,ISO-C17,<inttypes.h>,strtoimax,function,required,implemented,libc/include/inttypes.h,libc/inttypes.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
29,ISO-C17,<inttypes.h>,strtoumax,function,required,implemented,libc/include/inttypes.h,libc/inttypes.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
30,ISO-C17,<inttypes.h>,wcstoimax,function,required,implemented,libc/include/inttypes.h,libc/inttypes.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
31,ISO-C17,<inttypes.h>,wcstoumax,function,required,implemented,libc/include/inttypes.h,libc/inttypes.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
32,ISO-C17,<locale.h>,localeconv,function,required,implemented,libc/include/locale.h,libc/locale.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
33,ISO-C17,<locale.h>,setlocale,function,required,implemented,libc/include/locale.h,libc/locale.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
34,ISO-C17,<math.h>,acos,function,required,implemented,libc/include/math.h,vendor/musl/src/math/acos.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
35,ISO-C17,<math.h>,acosf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/acosf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
36,ISO-C17,<math.h>,acosh,function,required,implemented,libc/include/math.h,vendor/musl/src/math/acosh.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
37,ISO-C17,<math.h>,acoshf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/acoshf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
38,ISO-C17,<math.h>,acoshl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/acoshl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
39,ISO-C17,<math.h>,acosl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/acosl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
40,ISO-C17,<math.h>,asin,function,required,implemented,libc/include/math.h,vendor/musl/src/math/asin.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
41,ISO-C17,<math.h>,asinf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/asinf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
42,ISO-C17,<math.h>,asinh,function,required,implemented,libc/include/math.h,vendor/musl/src/math/asinh.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
43,ISO-C17,<math.h>,asinhf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/asinhf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
44,ISO-C17,<math.h>,asinhl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/asinhl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
45,ISO-C17,<math.h>,asinl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/asinl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
46,ISO-C17,<math.h>,atan,function,required,implemented,libc/include/math.h,vendor/musl/src/math/atan.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
47,ISO-C17,<math.h>,atan2,function,required,implemented,libc/include/math.h,vendor/musl/src/math/atan2.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
48,ISO-C17,<math.h>,atan2f,function,required,implemented,libc/include/math.h,vendor/musl/src/math/atan2f.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
49,ISO-C17,<math.h>,atan2l,function,required,implemented,libc/include/math.h,vendor/musl/src/math/atan2l.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
50,ISO-C17,<math.h>,atanf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/atanf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
51,ISO-C17,<math.h>,atanh,function,required,implemented,libc/include/math.h,vendor/musl/src/math/atanh.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
52,ISO-C17,<math.h>,atanhf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/atanhf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
53,ISO-C17,<math.h>,atanhl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/atanhl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
54,ISO-C17,<math.h>,atanl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/atanl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
55,ISO-C17,<math.h>,cbrt,function,required,implemented,libc/include/math.h,vendor/musl/src/math/cbrt.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
56,ISO-C17,<math.h>,cbrtf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/cbrtf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
57,ISO-C17,<math.h>,cbrtl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/cbrtl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
58,ISO-C17,<math.h>,ceil,function,required,implemented,libc/include/math.h,vendor/musl/src/math/ceil.c|vendor/musl/src/math/powerpc64/ceil.c|vendor/musl/src/math/s390x/ceil.c|vendor/musl/src/math/aarch64/ceil.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
59,ISO-C17,<math.h>,ceilf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/ceilf.c|vendor/musl/src/math/powerpc64/ceilf.c|vendor/musl/src/math/s390x/ceilf.c|vendor/musl/src/math/aarch64/ceilf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
60,ISO-C17,<math.h>,ceill,function,required,implemented,libc/include/math.h,vendor/musl/src/math/ceill.c|vendor/musl/src/math/s390x/ceill.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
61,ISO-C17,<math.h>,copysign,function,required,implemented,libc/include/math.h,vendor/musl/src/math/copysign.c|vendor/musl/src/math/riscv64/copysign.c|vendor/musl/src/math/riscv32/copysign.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
62,ISO-C17,<math.h>,copysignf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/copysignf.c|vendor/musl/src/math/riscv64/copysignf.c|vendor/musl/src/math/riscv32/copysignf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
63,ISO-C17,<math.h>,copysignl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/copysignl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
64,ISO-C17,<math.h>,cos,function,required,implemented,libc/include/math.h,vendor/musl/src/math/cos.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
65,ISO-C17,<math.h>,cosf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/cosf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
66,ISO-C17,<math.h>,cosh,function,required,implemented,libc/include/math.h,vendor/musl/src/math/cosh.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
67,ISO-C17,<math.h>,coshf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/coshf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
68,ISO-C17,<math.h>,coshl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/coshl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
69,ISO-C17,<math.h>,cosl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/cosl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
70,ISO-C17,<math.h>,erf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/erf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
71,ISO-C17,<math.h>,erfc,function,required,implemented,libc/include/math.h,vendor/musl/src/math/erf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
72,ISO-C17,<math.h>,erfcf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/erff.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
73,ISO-C17,<math.h>,erfcl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/erfl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
74,ISO-C17,<math.h>,erff,function,required,implemented,libc/include/math.h,vendor/musl/src/math/erff.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
75,ISO-C17,<math.h>,erfl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/erfl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
76,ISO-C17,<math.h>,exp,function,required,implemented,libc/include/math.h,vendor/musl/src/math/exp.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
77,ISO-C17,<math.h>,exp2,function,required,implemented,libc/include/math.h,vendor/musl/src/math/exp2.c|vendor/musl/src/math/powf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
78,ISO-C17,<math.h>,exp2f,function,required,implemented,libc/include/math.h,vendor/musl/src/math/exp2f.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
79,ISO-C17,<math.h>,exp2l,function,required,implemented,libc/include/math.h,vendor/musl/src/math/exp2l.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
